No,Key Action,Transformative_Action,App Name,Value_Chain,Service,Comparison Tech,all_tech,Tech,Tech2,Tech3,Tech4,Origin_city,Origin_country,Country_adoption,info additional,all_donors,Donor1,Donor2,Donor3,Donor 4,Donor5,OThers donors,Org1,Org2,Org3,,User_payment,Ownership,Description,all_levels,Level1,Level2,Level3,Level4,Level5,#,Pro_poor focus?,website,Twitter,Information ,Link ,Issues,Donors double chekc
11,"1.Increase productivity, employment and value addition in food systems",4. Build producers’ knowledge and develop their capacities,CROP Advisor LIRNEasia,AGTECH,Digital Advisory,Mobile App,"Mobile - Advisory,,",Mobile - Advisory,,,,,Philippines,Sri Lanka,Donor,",International Development Research Centre  of Canada ,The United Kingdom’s Department for International Development ,,",,International Development Research Centre  of Canada ,The United Kingdom’s Department for International Development ,,,,LIRNEasia,,,,,Social Entrerprise,The CROP Advisor is focused on vegetable growing farmers who are in the export value chai. These are produce that goes to the EU market. They need to comply with the Good Agricultural Practices (GAP) guidelines. The CROP Advisor allows farmers to learn about the GAP guidelines and comply with them. It also facilitates them to connect with the agriculture advisory services on diseases using MMS and voice massages. It also facilitate direct calls thorough the App. ,"Individual,Community,Business,,",Individual,Community,Business,,,,Yes,https://www.lirneasia.net/wp-content/uploads/2012/04/ME-Report-final.pdf,,,,,1
12,"1.Increase productivity, employment and value addition in food systems",2. Connect smallholders to markets,Data food Consortium,CONSUMER  & MARKETS,e-commerce,Open data platform,"Platform data-sharing,Data Analytics,",Platform data-sharing,Data Analytics,,,Paris,France,,,"Ile de France,Carasso ,MACIF Fondation,,",Ile de France,Carasso ,MACIF Fondation,,,,SOCLEO,OpenFood France,Elzeard,Alilo,,Parnertship,"Data Food Consortium is a collective of actors working for a profound change in the food system. This consortium brings together short supply chain players around an interoperability project between short supply chain platforms in order to allow them to communicate with each other. Our goal is to jointly define a common digital language, in this case nomenclatures and an open standard, through which we can pool data and connect players and initiatives.","Individual,Community,Business,Organizations,",Individual,Community,Business,Organizations,,,Not sure,http://www.datafoodconsortium.org/en/,,"Forts d’une certaine vision, nous croyons en une plus grande démocratie alimentaire et numérique. Nous souhaitons reconstruire des communs au service de notre alimentation, que ce soit sur la production d’aliments, sur leur distribution et sur les échanges de données .Nous pensons qu’il faut casser les silos qui freinent encore le changement d’ échelle des circuits courts alimentaires.",http://www.datafoodconsortium.org/en/,,
13,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",DigiCow,LIVESTOCK TECH,Digital Advisory,,"USSD,SMS,IVR",USSD,SMS,IVR,,,Kenya,,,"World Bank,,,,",World Bank,,,,,,Farmingtech Solutions Ltd,,,,,Startup,This is an app that enables data driven decisions to be made. The app keeps digital records & analyzed reports and also allows timely alert in-app and SmS notifications to be sent to farmers on important gestation dates,"Individual,Organizations,Business,Government,",Individual,Organizations,Business,Government,,,Yes,https://digicow.co.ke/,,DigiCow provides extension services to farmers using an innovative mobile phone solution. They provide training through a mobile app in which farmers can also chat and share ideas. Voice-based training coupled with SMSs is provided to farmers without access to smartphones,http://documents1.worldbank.org/curated/en/404601562827298352/pdf/Creating-an-Innovation-to-Connect-a-Million-Kenyan-Farmers-to-Disruptive-Agricultural-Technologies.pdf,https://bigdata.cgiar.org/blog-post/when-all-is-said-and-done-we-do-it-for-the-farmer/,
14,"1.Increase productivity, employment and value addition in food systems",4. Build producers’ knowledge and develop their capacities,Digital green ,AGTECH,Digital Advisory,,"Video,Mobile - Advisory,Website ",Video,Mobile - Advisory,Website ,,Delhi,India,,,"ORACLE,USAID,Bill and Melinda Gates Foundation,Goverment of India,Google",ORACLE,USAID,Bill and Melinda Gates Foundation,Goverment of India,Google,,Green Foundation,Microsoft Research,,,,Parnertship,"Digital Green uses a video approach to amplify extension providers’ effectiveness to improve farmers’ livelihoods. They partner with existing extension officers to provide videos with highly localized content, human mediators to reinforce key messages and use near real-time data and feedback from farmers to inform adjustments on the content of the videos.","Individual,Community,Organizations,,",Individual,Community,Organizations,,,,Yes,https://www.google.com/search?client=firefox-b-d&q=digital+greenb,,"Digital Green uses a video approach to amplify extension providers’ effectiveness to improve farmers’ livelihoods. They partner with existing extension officers to provide videos with highly localized content, human mediators to reinforce key messages and use near real-time data and feedback from farmers to inform adjustments on the content of the videos.",http://documents1.worldbank.org/curated/en/404601562827298352/pdf/Creating-an-Innovation-to-Connect-a-Million-Kenyan-Farmers-to-Disruptive-Agricultural-Technologies.pdf,,
15,"1.Increase productivity, employment and value addition in food systems",2. Connect smallholders to markets,E-Soko,AGTECH,Digital Advisory,,"SMS,Mobile - Advisory,Data Analytics",SMS,Mobile - Advisory,Data Analytics,,Accra,Ghana,,,"The Lundin Foundation,Acumen,,,",The Lundin Foundation,Acumen,,,,,Esoko,,,,,Startup,"Esoko began in 2008, providing market prices over SMS to smallholder farmers on development projects. The aim was to see how the emergence of mobile technology in Africa, could improve the lives of rural communities across the continent. Over time we have developed digital tools and services to help not only farmers, but also to help agribusinesses and development organizations reach rural communities with services and solutions that help improve their livelihoods.
Today, we connect over 1 million farmers to essential services – weather forecasts, agronomic advice, market linkages and insurance coverage over a range of channels including SMS, voice SMS and call centre. Various research finds such services can improve incomes for farmers by roughly 10%.
","Individual,Government,Organizations,,",Individual,Government,Organizations,,,,Yes,https://esoko.com/who-we-are/,https://twitter.com/Esokoo,,,,
16,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",e-wallet,FINTECH,Financial services,,"SMS,USSD,Website ",SMS,USSD,Website ,,,Nigeria,,,"Federal Government of Nigeria ,,,,",Federal Government of Nigeria ,,,,,,Cellulant,Federal Government of Nigeria ,,,,National Goverment organizatio,"e-Wallet, and electronic distribution channel that provides efficient and transparent systems for the purchase and distribution of agricultural inputs. Registered users of the subsidy programme would receive eWallet vouchers that they could redeem for agricultural inputs directly from agro-dealers for half of the costs. The second half of the costs was covered by the federal government","Individual,Government,,,",Individual,Government,,,,,Yes,https://www.cellulant.io/services/,,"e-Wallet, and electronic distribution channel that provides efficient and transparent systems for the purchase and distribution of agricultural inputs. Registered users of the subsidy programme would receive eWallet vouchers that they could redeem for agricultural inputs directly from agro-dealers for half of the costs. The second half of the costs was covered by the federal government",,https://cellulant.com/blog/agritech-in-africa-how-an-e-wallet-solution-powered-nigeria-governments-ges-scheme/,
17,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",eKrishok,FINTECH,Financial services,"Mobile application, web solution and business data","Mobile - Advisory,Data Analytics,Website ",Mobile - Advisory,Data Analytics,Website ,,,Bangladesh,"Bangladesh, Kenya","Crowdfunding, Private investors","Crowfunding ,,,,",Crowfunding ,,,,,,Bangladesh Institute of ICT in Development (BIID),,,,,Parnertship,"eKrishok is a mobile apps, help desk and web based solution as a decision making tool for the farmers as well as small businesses in agricultural sector. The application offers extension services, entrepreneurship and business planning solutions to make proper planning to run their farm and businesses smartly. Users can use the application by downloading, make phone calls or visiting the website. Till now BIID is using alternate business model to spread the service among the target groups which is more ‘subsidy’ based and in the process of ‘commercialization’ jointly with the input companies and telecom operators. The principle of the business model will be ‘Zero Cost Extension’.  Private sector companies are getting engaged since the service facilitate business intelligence data on user behaviour and market trend.  ","Individual,Business,,,",Individual,Business,,,,,Yes,www.ekrishok.com,,,,,1
18,5.Adapt governance to new challenges,17. Enhance policy dialogue and coordination,Fao Hand-in-Hand,AGTECH,Digital Advisory,,"GIS/RemoteSensing,Platform data-sharing,",GIS/RemoteSensing,Platform data-sharing,,,Rome,Italy,NaN,,"FAO,,,,",FAO,,,,,,FAO,,,,,Parnertship,"Hand-in-Hand (HIH) is an evidence-based, country-led and country-owned initiative of FAO to accelerate agricultural transformation and sustainable rural development to eradicate poverty (SDG 1) and end hunger and all forms of malnutrition (SDG 2). By promoting progress to achieve SDGs 1 and 2, the foundational objectives of the 2030 Agenda, HIH contributes to the attainment of all the other SDGs. The initiative prioritizes countries where national capacities and international support are limited, including Small Island Developing States and Least Developed States. Enhancing country ownership and leadership is a foundational objective of the Initiative.","Government,Organizations,,,",Government,Organizations,,,,,Yes,http://www.fao.org/hih-geospatial-platform/en/get-started/index,,,http://www.fao.org/3/ca6137en/ca6137en.pdf,,
19,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",FarmDrive,FINTECH,Financial services,"SMS/Android mobile app, big data, geodata, machine learning","AI & Machine learning,SMS,GIS/RemoteSensing",AI & Machine learning,SMS,GIS/RemoteSensing,,,Kenya,Kenya,"Donor, Private investors","1to4 Foundation,Engineer Without Borders Canada,AK Impact Investors,Sunu Capital,The Lakes Charitable",1to4 Foundation,Engineer Without Borders Canada,AK Impact Investors,Sunu Capital,The Lakes Charitable,https://www.crunchbase.com/organization/farmdrive/company_financials,FarmDrive,,,,,Social Entrerprise,"FarmDrive has built an innovative credit risk assessment model that provides detailed risk profiles of smallholder farmers to financial institutions. The credit scoring algorithm targets each farming vertical and geographical region by aggregating numerous streams of alternative data, namely: Environmental Data (weather, soil quality, etc.), Social Data (social interactions, etc.), Individual Data (demographic, etc.), Economic Data (cash flows, market access, etc.), Agronomic Data (farm management, etc., and Satellite Data (imagery, NDVI, etc.). These datasets are obtained through a multitude of sources in Kenya and around the world, both from the ground, and from the sky, including FarmDrive’s own Android/SMS mobile phone application on which farmers can track their revenues and expenses and apply for loans. The aggregated data are then fed into FarmDrive’s algorithm, which generates credit scores and decisioning tools that financial institutions use to lend to smallholder farmers. alternative credit scoring for smallholder farmers
","Individual,Business,Organizations,,",Individual,Business,Organizations,,,,Yes,https://farmdrive.co.ke/,,,,,1
20,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",Farmerlink,AGTECH,Digital Advisory,"Mobile, SMS, IVR (prototype), Weather and Satellite Services, Dashboard (Salesforce Analytics)","IVR,GIS/RemoteSensing,SMS",IVR,GIS/RemoteSensing,SMS,,,Colombia,Colombia,"Academic institution, Donor","Propeller Fish ,Grammen Foundation,,,",Propeller Fish ,Grammen Foundation,,,,,Grameen Foundation USA,,,,,NGO,"Farmerlink combines the power of mobile technology and human networks to help smallholder farmers. The interconnected challenges facing coconut farmers required us to obtain deeper insights into their needs and to develop systems for our project partners to provide technical assistance and connect farmers to markets and financial services, cost-effectively.  FarmerLink is a suite of Android-based mobile applications that offers two-way communication, works offline, and can be used in remote areas of the Philippines without the need for data connectivity. Field agents and other trusted local advisors use FarmerLink to collect rich, real-time data on farmers that is critical to providing the customized support farmers need to be successful. Equally important, farmers receive alerts and agronomic advice via SMS texts and also from the field agents. The data includes farmer profiles, farm management plans, organic inspection tool and an early warning system.","Individual,Organizations,,,",Individual,Organizations,,,,,Yes,www.grameenfoundation.org,,http://www.safeplatform.org/farmer-link,,,1
21,"4.Enhance the resilience of people, communities and ecosystems",14. Prepare for and respond to shocks,Farmers Pride,CONSUMER  & MARKETS,e-commerce,,"Website ,,",Website ,,,,Nairobi,Kenya,Kenya,,"World Bank,Gray Matters Capital,,,",World Bank,Gray Matters Capital,,,,,Farmers Pride,,,,,Startup,"Farmers Pride is a social enterprise that provides a one stop online-to-offline DigiShop marketplace platform that connects village level farmers to relevant information, quality inputs and credible agriculture services in local community to ensure sustainable increased farm production and mitigate effects of climate change","Individual,,,,",Individual,,,,,,Yes,farmersprideafrica.com/,,"Farmers Pride leverages technology and franchising to break down barriers that have limited success of farmers. They provide a one stop village level online mobile app/web platform popularly known as DIGISHOP that ensures access to all the necessary inputs, services and information farmers need",http://documents1.worldbank.org/curated/en/404601562827298352/pdf/Creating-an-Innovation-to-Connect-a-Million-Kenyan-Farmers-to-Disruptive-Agricultural-Technologies.pdf,,
22,"1.Increase productivity, employment and value addition in food systems",4. Build producers’ knowledge and develop their capacities,Fisher Friend mobile application,FISHTECH,Digital Advisory,"Mobile App, Smartphone","Mobile - Advisory,GIS/RemoteSensing,",Mobile - Advisory,GIS/RemoteSensing,,,,India,India,Donor,"Qualcomm’s Wireless Reach,,,,",Qualcomm’s Wireless Reach,,,,,,MS Swaminathan Research Foundation,,,,,NGO,"The Fisher Friend Mobile Application was conceptualized in the aftermath of the 2004 tsunami which wreaked havoc in the lives of fishermen and made them fearful of going out to sea.

The Fisher Friend Mobile Application provides comprehensive information on oceanic conditions such as wind speed, wind direction and wave height in the local language of the fishermen. Fishermen use this information to determine when it is safe to go to sea. 

Fisher Friend leverages the smartphone’s GPS feature to map the coordinates of Potential Fishing Zone (PFZ) Advisories, which are provided by the Indian National Centre for Ocean Information Services located in Hyderabad, as well as to chart a course to the PFZ. The mobile app also alerts the fishermen when they’re approaching the international boundary line, enabling them to change course and avoid crossing the border which could result in financial losses and incarceration. 
","Individual,Community,Government,,",Individual,Community,Government,,,,Yes,https://www.mssrf.org/content/fisher-friend-mobile-application,,https://www.oecd.org/aidfortrade/48367406.pdf,,,1
23,"1.Increase productivity, employment and value addition in food systems",3. Encourage diversification of production and income,GEOPOTATO,AGTECH,Digital Advisory,"We are utilizing information based upon publicly-available satellite data and using various models are important aspects of the decision support system (DSS), which continuously measures and forecasts weather and biomass growth of potato crops in relation to the late blight disease cycle. The decision support system evaluates this information to provide farmers with a timely spraying advice.

Through our pilot intervention, the late blight alert service is being provided on a subscription basis to farmers, through SMS or voicemail during the potato growing season.
","SMS,Data Analytics,",SMS,Data Analytics,,,,Bangladesh,Bangladesh,"Donor, Private investors","mPower Social Enterprises,Bangladesh Centre for Advanced Studies,Wageningen University,TerraSphere,",mPower Social Enterprises,Bangladesh Centre for Advanced Studies,Wageningen University,TerraSphere,,,Netherdelands Space Office,,,,,Parnertship,"Late blight (Phytophthora infestans) is the most common and highly destructive, fungal disease in potato, tomato and other solanaceae crops in Bangladesh. Annual potato yield losses due to this disease have been estimated at a staggering 25-57%.

With Geodata to control potato late blight in Bangladesh (GEOPOTATO), mPower has developed and is implementing a decision support service (DSS) in Bangladesh for an optimal control strategy of late blight in potato. The decision support service will provide farmers with preventive spray advice when a late blight infection period is predicted to occur. The decision support service also evaluates past sprays, which may result in curative spray advice when, despite past sprays, infection is likely to have occurred in the past few days. 

This early warning system can enable huge cost savings for farmers as they would no longer need to resort to expensive fungicides for damage control.","Individual,Community,,,",Individual,Community,,,,,Yes,http://www.mpower-social.com/,,https://nso-g4aw.akvoapp.org/fr/project/5299/,,,1
24,"4.Enhance the resilience of people, communities and ecosystems",13. Prevent and protect against shocks: enhance resilience,Global Flood Risk Dashboard,RESOURCES,Digital Advisory,"Combining global satellite imagery, social media and cloud-computing, we put flood risk maps in everyone’s browser and work with the most vulnerable communities. Powered by Google Earth Engine, the web-enabled version of the map results could be set to stream satellite imagery from public and private sensors and harness crowdsourced contributions in near real time, so that the vulnerability analysis for can be updated with the mere refresh of a browser page – no downloading is required.","AI & Machine learning,GIS/RemoteSensing,",AI & Machine learning,GIS/RemoteSensing,,,New York ,United States,"Our work is at a global scale, but we create local flood vulnerability assessments in cooperation with national governments and development agencies. In partnership with our client the World Bank, our technology is deployed in the Uttarakhand region of India and we are scoping out feasibility to launch in the coming year in Nepal. Outside of Asia, we are currently working in Senegal and Argentina and have performed flood risk assessment in the State of New York in the United States (USA). ","Donor, Government, User fees, Fellowships","United Nations,,,,",United Nations,,,,,,Cloud to Street,,,,,Donors Programs (international Based),"Developer of a remote sensing platform created to map floods in real time. The company's remote sensing platform delivers dynamic risk information in a Web dashboard at a fraction of the cost of traditional flood modeling by predicting the size and damage of flood as the storm approaches, enabling catastrophe insurers, communities and watershed managers to understand their risk and prepare and respond to the next flood.","Community,Government,,,",Community,Government,,,,,Yes,cloudtostreet.info,,,,,
